胡豆	蚕豆
歪	凶恶
左	调换
撵	追赶
跩	摔倒
号	批阅
改卷子	批阅试卷
湓	溢出
巴	粘贴
报小鸡	孵化小鸡
太费了	太调皮了
很费	很调皮
怄	生气
𤆵和	软
盐巴	盐
檐老鼠	蝙蝠
马马灯儿	蜻蜓
偷油婆	蟑螂
捱	拖延
好磨	好磨蹭
经事	韧
盅盅儿	盅
扯把子	撒谎
袜底板	鞋垫
冒皮皮	吹牛
巴适	舒服
瓢羹儿	勺子
嘎嘎	肉
棒老二	土匪
怀儿婆	孕妇
雪弹子	冰雹
古倒	吓住
四脚蛇	壁虎
磕膝菠萝	膝盖
贼娃子	小偷
破开	剖开
晏	晚
角孽	吵架
造孽	可怜
经悠	照顾
踏谑	作践
往回	以前
晓得	知道
踏踏	地方
嬢嬢	阿姨
跶一跤	摔一跤
豁	骗
掌一下	扶一下
掌倒	扶着
筶一下	试试
噗鼾	呼噜
打噗鼾	打呼噜
打噗鼾	打鼾
灶屋	厨房
背时	倒霉
二回	以后
弯酸	为难
耍	玩
跍	蹲
拢	到
活路	工作
杀果	结束
撑抖	整齐
颈项	脖子
安逸	舒服
各人	自己
婆娘	妻子
横顺	横竖
安生	打算
謱謰	邋遢
得行	能干
相因	便宜
拉丝	拉链
院坝	院子
灰面	面粉
少午	午饭
火炮儿	鞭炮
向火	烤火
皱皱	褶皱
侧边	旁边
鸡婆	母鸡
转来	回来
火闪	闪电
皮面	表面
别个	别人
人客	客人
蹄花儿	蹄髈
打伙	合伙
缺缺	缺口
不了	不止
开裂	裂开
娃儿	孩子
娃儿	小子
日你仙人板板	草拟八辈祖宗
安逸得板	舒服得很
巴倒	粘住
板眼儿多	花样多
棒球八硬	很硬
帮重	很重
苞谷	玉米
鼻达龙	鼻涕虫
不摆咯	不得了了
不得	不会
不要扭	不要动
擦擦儿	橡皮
产你两耳丝	扇你两耳光
车车儿	卷笔刀
扯把子	撒谎
扯谎	撒谎
扯经	吵架
扯经	口舌之争
扯蒲鼾	打呼噜
称展	清秀端正
吃莽莽	吃饭
吃跑堂	吃霸王餐
烂批娃儿	臭小子
令儿	蝉
